cnae_nota,id_cidade_empresa,regime_tributacao_empresa,id_servico_prestado_nota,quantidade_empresas,quantidade_notas,total_empresas_grupo,total_notas_grupo
1813001,1778,NORMAL,89547d76-2e0d-41f4-8427-60b0269086c0,2,85,4,124
1813001,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,5,554,6,558
1813001,1778,SIMPLES_NACIONAL,89547d76-2e0d-41f4-8427-60b0269086c0,1,4,6,558
1813001,1778,SIMPLES_NACIONAL_EXCESSO_RECEITA_BRUTA,49407486-961b-4baa-8f0d-40082c5843de,1,11,1,11
1813001,1820,SIMPLES_NACIONAL,07336e2f-ff78-4a19-a82e-0e5f6e86f322,1,3,2,7
1813001,1820,SIMPLES_NACIONAL,41819be9-35ed-4382-8019-27c21e7d921f,1,4,2,7
1813001,2174,SIMPLES_NACIONAL,2623ca6b-3eb2-463c-83a9-1d31fe857008,1,8,2,23
1813001,2174,SIMPLES_NACIONAL,ce02b9a6-a5b0-4407-a387-831c8d207b66,1,15,2,23
1813001,2743,NORMAL,d65b6bfc-15c7-4e01-94f5-8053ef174a94,1,54,1,54
1813001,2743,SIMPLES_NACIONAL,6a415005-2117-41d7-8488-d299dd0900c1,1,772,5,839
1813001,2743,SIMPLES_NACIONAL,9dff8c40-6fda-478b-bbcb-760f6d23a254,1,1,5,839
1813001,2743,SIMPLES_NACIONAL,ad393d00-740c-4bbb-9979-d84aeaf21df8,1,64,5,839
1813001,2743,SIMPLES_NACIONAL,d5ab2d91-4fc6-4238-9bc6-50bc92c17fbe,1,1,5,839
1813001,2743,SIMPLES_NACIONAL,d65b6bfc-15c7-4e01-94f5-8053ef174a94,1,1,5,839
1813001,2842,SIMPLES_NACIONAL,ae631d95-ac69-4dc6-8fa6-0ade7ea10a15,1,1,1,1
1813001,2980,SIMPLES_NACIONAL,ca476963-a302-4320-adef-cca0f42eb1f8,1,18,1,18
1813001,3016,SIMPLES_NACIONAL,06d2b888-ff8b-407a-aab0-d868a9335eba,1,416,2,425
1813001,3016,SIMPLES_NACIONAL,36beb9a0-de6d-4853-9eed-014064307c48,1,9,2,425
1813001,6015,SIMPLES_NACIONAL,7abd9cd6-95a7-485c-b152-e01cc97d81f2,1,2,2,3
1813001,6015,SIMPLES_NACIONAL,e0e88829-ab84-45e8-86f9-5e11689a7608,1,1,2,3
1813001,6137,SIMPLES_NACIONAL,8b0ac64b-b234-4049-a062-582b843beca4,2,2,2,2
1813001,6989,SIMPLES_NACIONAL,53a1e441-8b40-489c-9325-eb5050f74902,1,11,1,11
1813001,7043,SIMPLES_NACIONAL,4ae315c4-1cbc-4ae2-a1b5-d731eef2df7e,1,54,2,75
1813001,7043,SIMPLES_NACIONAL,b580f8fc-e2f9-4f64-9963-157e3a4344c2,1,21,2,75
1813001,7221,SIMPLES_NACIONAL,d5afdfda-f25c-4cb3-9f49-4de524fb01a2,1,1,1,1
1813001,7375,SIMPLES_NACIONAL,a88d5865-ed77-4f4d-bc75-7e2072c6194c,2,274,3,277
1813001,7375,SIMPLES_NACIONAL,f6b17a2a-88e5-4bbd-8b6b-57b78de8d39f,1,3,3,277
1813001,7389,SIMPLES_NACIONAL,990ddc81-8a39-4386-8687-d857868e22e5,1,4,1,4
1813001,7531,SIMPLES_NACIONAL,35ba048a-c9f2-429f-8dc2-284122c4132b,1,40,2,208
1813001,7531,SIMPLES_NACIONAL,52bb4b5e-3241-4464-ac9a-3ebdb48ad390,1,168,2,208
1813001,7994,SIMPLES_NACIONAL,ad236348-24a7-4774-a2a5-3e82bfe5f50e,1,34,1,34
1813001,7994,SIMPLES_NACIONAL_EXCESSO_RECEITA_BRUTA,b66845bf-01af-4818-8f4f-4b7bf49fb149,1,46,1,46
1813001,8404,SIMPLES_NACIONAL,c95b2e82-92f2-4d4f-8260-3d45ac302bc7,2,35,2,35
1813001,8521,NORMAL,1f50f150-42b2-45b5-9c5d-32b61ce90bdd,1,81,1,81
